第一章 雪婷镇
荼蘼阁 舞眉儿 犹怜楼内最善舞的女子，云袖轻摆招蝶舞、纤腰慢拧飘丝绦。她似是一只蝴蝶翩翩飞舞、一片落叶空中摇曳，又似是丛中的一束花、随着风的节奏扭动腰肢。若有若无的笑容始终荡漾在她脸上，清雅如同夏日荷花。
朝暮阁 寄雪奴儿 一条从西域带来的波斯猫。
朝暮阁 琴楚儿 女子长长的秀发随着绝美的脸庞自然垂下，月光下，长发上似乎流动着一条清澈的河流，直直泻到散开的裙角边，那翠色欲流的玉箫轻轻挨着薄薄的红唇，萧声凄美苍凉。她的双手洁白无瑕，轻柔的流动在乐声中，白色的衣裙，散落的长发，流离凄美。她眉宇间，忧伤像薄薄的晨雾一样笼罩着。没有金冠玉饰，没有尊贵华杉。她却比任何人都美。
东林集市 华衣女子 衣着华贵的女子，年纪尚轻，身上似藏有一些秘密。
东林集市 赤髯刀客 一名面向粗旷威武的刀客，胡髯全是火红之色，似是钟馗一般。
东林集市 老乞丐 衣衫破烂却不污秽的老乞丐，身上有八个口袋，似是丐帮净衣八袋弟子。
东林集市 马帮弟子 漠北马帮的得力弟子。
卧马客栈 养马小厮 这是客栈门口负责为客人牵马喂马的小厮。
客栈大堂 客栈掌柜 卧马客栈的大掌柜的。
客栈大堂 店小二 一个跑前跑后的小二，忙得不可开交。
西郊小路 蝮蛇 当地特有的毒蛇，嘶嘶地发出警告，你最好不要靠近。
西郊小路 东方秋 一名年青剑客，腰插一块显是王府内的令牌，让人对其身份产生了好奇。
沧浪河渡口西 函谷关官兵 这是镇守函谷关的官兵，在渡口侦探敌情。
沧浪河渡口西 函谷关武官 函谷关统兵武官，驻守渡口监视着敌人的动向。
沧浪河谷 长刀敌将 这是一名手持长刀的敌将。
南岭密道 穿山甲 这是一只穿山甲。
锁龙潭 黑衣老者 一个表情凶狠的黑衣老者，你最好还是不要招惹他。
深山石窟 六道禅师 曾经的武林禅宗第一高手，武功修为极高，内力深厚，一身真气护体的功夫，寻常人难以企及。
瀑下石屋（六道探视） 雪若云 这是无影楼长老雪若云，此刻正在榻上打坐静养。
南岭密道 火狐 这是一只红色皮毛的狐狸。
南岭密道 黄鹂 这是一只黄鹂鸟儿，吱吱呀呀地唱着。
花海 夜攸裳 一个来自波斯国的女子，看似穿着华裙，内中却是劲衣。头上扎着一个侧髻，斜插着一支金玉双凤钗。
出云庄、松柏石道 云卫 这是守卫出云庄大门的守卫，气度不凡。
松柏石道 云将 这是统管出云庄护卫的将领，龙行虎步，神威凛凛。
松柏石道 女眷 这是出云庄的女眷，虽为女流，却精通武艺。
甲胄坊 制甲师 这是一个顶尖的制造甲胄的大师。
练武场 试剑士 这是一个试炼各式兵器和器械的武士。
冶炼坊 莫邪传人 这是一个顶尖的铸炼天匠，据传曾是莫邪的弟子。
匠人屋 老仆 一名忠心耿耿的老仆人，一言不发地守在公子身后。
松柏石道 狄啸 这是一个能征战四方的将军，出云庄的得力大将。
松柏石道 青云仙子 这是一个游历四方的道姑，姿态飘逸，身负古琴，能成为出云庄的客人，怕也是来头不小。
出云厅 秦东海 是出云庄的主人，也是出云部军队的大统帅。身穿狮头麒麟铠，腰佩神剑。
出云厅 执剑长老 这是出云庄四大长老之一的执剑长老，负责传授庄中武士的武艺，其一身武功之高自是不在话下。
出云厅 执法长老 这是出云庄四大长老之一的执法长老，负责庄中的法规制度的执行，严肃公正，一丝不苟。
出云厅、密室（秦东海推石狮） 执典长老 这是出云庄四大长老之一的执典长老，负责维护管理庄中重要的典籍和秘书。
落霞山径 野兔 这是一只灰耳白尾的野兔
落霞山径 老烟杆儿 一名白发苍苍的老人，手持一柄烟杆儿。
落霞山径 杂货脚夫 一个负责运送日常杂货的脚夫。
落霞山径 短衫剑客 一个身着短衫，利落干净的剑客。
落霞山径 巧儿 一个聪明伶俐，娇小可爱的小丫头。
落霞山径 骑牛老汉 一个黑衫华发的老人，腰佩长剑。
落霞山径 青牛 一头通体泛青，健硕无比的公牛。
孤鹜枫林 书童 一名年不及二八的小书童，身上背着书篓。
黑岩溪 赤尾雪狐 一只通体雪白，尾稍赤红如火的狐狸。
黑岩溪 泥鳅 一条乌黑油亮的小泥鳅，在溪水中畅快地游着。
黑岩溪 灰衣血僧 一个满面煞气，身着灰色僧袍，手持大环刀的中年恶僧。
白龙天瀑 白鹭 一只羽毛如雪的白鹭，双翅一展有丈许，直欲振翅上九天而去。
孤鹜枫林 青衫女子 一名身着青衫，头戴碧玉簪的年青女子。手里拿着一支绿色玉箫。
孤鹜枫林 樊川居士 百年难得一出的天纵英才，诗文当世无二，其诗雄姿英发。而人如其诗，个性张扬，如鹤舞长空，俊朗飘逸。
无影楼 无影暗侍 这是一个无影楼守门的侍卫，全身黑衣，面带黑纱。
退思台 琴仙子 一个身着朴素白裙，满头青丝垂下的少女，手指轻动，天籁般的琴音便流淌而出。琴声之间还包含了极深的内力修为。
千叶飞瀑 百晓居士 这是一个江湖事无所不晓的老头，总是一副若有所思的样子。
碎影栈道 清风童子 这是无影楼的小侍童。
落英小筑 刀仆 这是天刀宗师的仆人，忠心耿耿。
落英小筑 天刀宗师 一个白发老人，身形挺拔，传说这是二十年前突然消失于武林的天下第一刀客。
与谁同坐亭（花间回廊入亭赏月） 虬髯长老 这是无影阁四大长老之一的虬髯公，满面赤色的虬髯，腰间一把帝王之剑。
清溪石板路 行脚贩子 这是一个远道而来的商人，满面风尘。
浣衣台 农家少妇 附近农家的新婚妇人，一边带着孩子，一边浣洗着衣服。
浣衣台 六婆婆 年长的妇女，总忍不住要善意地指导一下年轻女孩们的家务。
甜水井 青壮小伙 在井边打水的健壮少年，浑身都是紧实的肌肉，总是在有意无意之间展示着自己的力量。
马车店、铁匠铺 店老板 马车店老板，年近不惑。
骡马市 白衣弟子 出云庄的年轻弟子，第一次来到市集，看什么都是新鲜。
骡马市 黑衣骑士 穿着马靴的黑衣少年，似是在维持市场的秩序。
铁匠铺 青衫铁匠 一个深藏不露的铁匠，据说能打出最上乘的武器。
天青原 牧民 一个风霜满面却面带微笑的中年男子。
天青原 青鬃野马 野外的空阔辽远，青鬃马扬起鬃毛，收腰扎背，四蹄翻飞，跨阡度陌，跃丘越壑，尽情地奔驰在自由的风里。
风花谷 小马驹 出生不足一年的小马驹，虽不知其名，但显是有着极纯正优秀的血统，世人皆说风花牧场尽收天下名驹，此言非虚。
风花谷 的卢幼驹 额上有白点，通体黝黑的神骏幼驹。
风花谷 乌骓马 通体黑缎子一样，油光放亮，唯有四个马蹄子部位白得赛雪。乌骓背长腰短而平直，四肢关节筋腱发育壮实，这样的马有个讲头，名唤“踢雪乌骓”。
九牧溪 绛衣剑客 一名身着绛色短衫的剑客，太阳穴微微鼓起，显是有着极强内力修为。
九牧溪 白衣公子 手持折扇，白衣飘飘的俊美公子，似是女扮男装。
九牧溪 老仆 一名忠心耿耿的老仆人，一言不发地守在公子身后。
风花牧场 秦惊烈 一个身高七尺的伟岸男子，腰里挂着弯刀，明明是满脸虬髯，脸上却总是带着温和的微笑。
风花牧场 千小驹 一个年近弱冠的小孩子，身着皮袄，手拿小鞭，自幼在牧场长大，以马驹为名，也极善与马儿相处，据说他能听懂马儿说话。
风花马道 小马驹儿 一只刚出生不久的小马驹，虽步行踉跄，却也已能看出纯种烈血宝马的一二分风采。
风花马道 牧羊犬 牧民们的牧羊犬，威风凛凛，忠心耿耿。
风花马道 追风马 中原诸侯梦寐以求的军中良马，可日行六百，四蹄翻飞，逐风不休。
风花马道 诸侯秘使 一个来求购良马的使者，不知道哪个诸侯派出，身份隐秘。
风花马道 赤菟马 人中吕布，马中赤兔，如龙如神，日行千里，红影震慑千军阵！
风花马道 风如斩 风花牧场上最好的牧人之一，左耳吊坠是一只狼王之齿，腰间的马刀也是功勋赫赫！
风花马道 爪黄飞电 据说是魏武帝最爱的名驹，体型高大，气势磅礴，万马之中也可一眼看出。
风花马道 黑狗 一条牧场上的黑狗，汪汪地冲你叫着。
风花马道 照夜玉狮子 此马天下无双，通体上下，一色雪白，没有半根杂色，浑身雪白，传说能日行千里，产于西域，是极品中的极品。
风花马道 鲁总管 风花牧场的总管，上上下下的诸多事情都归他打理，内务外交都会经他之手。他却一副好整以暇的样子，似是经纬尽在掌握。
风花马道 风花侍女 风花牧场的侍女，虽名义上都是仆从，但却神色轻松，喜笑颜开，和主人管事们都亲热非常。
百里原 灰耳兔 一只白色的兔子，耳朵却是灰色。
轻舞丘 白狐 一只通体雪白的小狐狸，在树洞里伸出头来看着你。
轻舞丘 小鹿 一只满身梅花的小鹿，抬起头看着你。
天玑台 天玑童子 天玑楼里的小童子，身穿青衫，头系蓝色发带。


第四十四章 海云镇
马夫 这是一个等候主人的马夫，耐心地打扫着马车。
野狗 一只浑身脏兮兮的野狗
老镇长 这是海云镇的镇长，平日里也没啥事情可管，便拿着个烟袋闲逛。
烟袋老头 一个显然有着不低功夫底子的老头子，手拿一个烟袋。
青年女子 一个青年女剑客，年方二八，身姿矫健。
背枪客 这是一个青年武士，背后背着一把亮银长枪。
小孩 这是海云镇的一个小孩子，年方五六岁，天真烂漫。
野兔 正在吃草的兔子。
游客 这是一个游客，背着手享受着山海美景。
青年剑客 这是一个青年剑客，眼含剑气。
九纹龙 这是海云阁四大杀手之一的九纹龙，凶狠非常。
蟒蛇 一只昂首直立，吐着长舌芯的大蟒蛇。
暗哨 这是海云阁的暗哨，身穿平常的布衣，却掩饰不了眼神里的狡黠和敏锐。
石邪王 据说这曾是武林魔道名门掌门，其武学造诣也是登峰造极。
穿山豹 这事海云阁四大杀手之一的穿山豹，行动敏捷，狡黠异常。
地杀 这是一名海云阁高级杀手。
天杀 这是一名海云阁高级杀手。
海东狮 这是海云阁四大杀手之首的海东狮，近十年来从未失手，手底已有数十个江湖名门掌门的性命。
海云长老 这是海云阁内的长老级杀手。
红纱舞女 这是一个身着轻纱的舞女，穿着轻薄，舞姿极尽媚态，眉目轻笑之间却隐含着淡淡的杀气。
青纱舞女 这是一个身着轻纱的舞女，穿着轻薄，舞姿极尽媚态，眉目轻笑之间却隐含着淡淡的杀气。
紫纱舞女 这是一个身着轻纱的舞女，穿着轻薄，舞姿极尽媚态，眉目轻笑之间却隐含着淡淡的杀气。
白纱舞女 这是一个身着轻纱的舞女，穿着轻薄，舞姿极尽媚态，眉目轻笑之间却隐含着淡淡的杀气。
六如公子 这是一个隐士，武学修为极高，也似乎并不受海云阁辖制。
萧秋水 传闻他出自天下第一名门浣花剑派，却无人知晓他的名讳。
啸林虎 这事海云阁四大杀手之一的啸林虎，武功极高。
陆大刀 江湖南四奇之首，人称仁义陆大刀。
水剑侠 江湖南四奇之一，外号叫作“冷月剑”
乘风客 江湖南四奇之一，外号叫作“柔云剑”。
血刀妖僧 「血刀圣教」掌门人，自称「武林第一邪派高手」，门下都作和尚打扮，但个个都是十恶不赦的淫僧。
花铁枪 江湖南四奇之一，外号叫作“中平枪”
狄小侠 其貌不扬，但却有情有义，敢爱敢恨，性格鲜明。
水姑娘 白衫飘飘，样貌清秀俏丽，人品俊雅，嫉恶如仇。
虬髯犯人 这人满脸虬髯，头发长长的直垂至颈，衣衫破烂不堪，简直如同荒山中的野人
